10M08SCE144I7G								
Pin	,	Name	,	Unit	,	Type	,	Side
6	,	LS_IO_L1n	,	Bank1A	,	bidirectional	,	right
7	,	LS_IO_L1p	,	Bank1A	,	bidirectional	,	right
8	,	LS_IO_L3n	,	Bank1A	,	bidirectional	,	right
10	,	LS_IO_L3p	,	Bank1A	,	bidirectional	,	right
11	,	LS_IO_L5n	,	Bank1A	,	bidirectional	,	right
12	,	LS_IO_L5p	,	Bank1A	,	bidirectional	,	right
13	,	LS_IO_L7n	,	Bank1A	,	bidirectional	,	right
14	,	LS_IO_L7p	,	Bank1A	,	bidirectional	,	right
15	,	JTAGEN	,	Bank1B	,	bidirectional	,	right
16	,	TMS	,	Bank1B	,	bidirectional	,	right
17	,	LS_IO_VREFB1N0	,	Bank1B	,	bidirectional	,	right
18	,	TCK	,	Bank1B	,	bidirectional	,	right
19	,	TDI	,	Bank1B	,	bidirectional	,	right
20	,	TDO	,	Bank1B	,	bidirectional	,	right
21	,	LS_IO_L14n	,	Bank1B	,	bidirectional	,	right
22	,	LS_IO_L14p	,	Bank1B	,	bidirectional	,	right
24	,	LS_IO_L16n	,	Bank1B	,	bidirectional	,	right
25	,	LS_IO_L16p	,	Bank1B	,	bidirectional	,	right
26	,	HS_IO_L18n_CLK0n	,	Bank2	,	bidirectional	,	right
27	,	HS_IO_L18p_CLK0p	,	Bank2	,	bidirectional	,	right
28	,	HS_IO_L20n_CLK1n	,	Bank2	,	bidirectional	,	right
29	,	HS_IO_L20p_CLK1p	,	Bank2	,	bidirectional	,	right
30	,	HS_IO_VREFB2N0	,	Bank2	,	bidirectional	,	right
32	,	HS_IO_L27n_PLL_L_CLKOUTn	,	Bank2	,	bidirectional	,	right
33	,	HS_IO_L27p_PLL_L_CLKOUTp	,	Bank2	,	bidirectional	,	right
38	,	HS_IO_B1n	,	Bank3	,	bidirectional	,	right
39	,	HS_IO_B1p	,	Bank3	,	bidirectional	,	right
41	,	HS_IO_B3n	,	Bank3	,	bidirectional	,	right
43	,	HS_IO_B3p	,	Bank3	,	bidirectional	,	right
44	,	HS_IO_B5n	,	Bank3	,	bidirectional	,	right
45	,	HS_IO_B5p	,	Bank3	,	bidirectional	,	right
46	,	HS_IO_B7n	,	Bank3	,	bidirectional	,	right
47	,	HS_IO_B7p	,	Bank3	,	bidirectional	,	right
50	,	HS_IO_B9n	,	Bank3	,	bidirectional	,	right
48	,	HS_IO_VREFB3N0	,	Bank3	,	bidirectional	,	right
52	,	HS_IO_B9p	,	Bank3	,	bidirectional	,	right
54	,	HS_IO	,	Bank3	,	bidirectional	,	right
55	,	HS_IO_B12n	,	Bank3	,	bidirectional	,	right
56	,	HS_IO_B12p	,	Bank3	,	bidirectional	,	right
57	,	HS_IO_B14n	,	Bank3	,	bidirectional	,	right
58	,	HS_IO_B14p	,	Bank3	,	bidirectional	,	right
59	,	HS_IO_B16n	,	Bank3	,	bidirectional	,	right
60	,	HS_IO_B16p	,	Bank3	,	bidirectional	,	right
61	,	HS_IO_VREFB4N0	,	Bank4	,	bidirectional	,	right
62	,	HS_IO	,	Bank4	,	bidirectional	,	right
64	,	HS_IO_B23n	,	Bank4	,	bidirectional	,	right
65	,	HS_IO_B23p	,	Bank4	,	bidirectional	,	right
66	,	HS_IO	,	Bank4	,	bidirectional	,	right
69	,	HS_IO_B27n	,	Bank4	,	bidirectional	,	right
70	,	HS_IO_B27p	,	Bank4	,	bidirectional	,	right
75	,	HS_IO_R1p	,	Bank5	,	bidirectional	,	right
74	,	HS_IO_R2p	,	Bank5	,	bidirectional	,	right
77	,	HS_IO_R1n	,	Bank5	,	bidirectional	,	right
76	,	HS_IO_R2n	,	Bank5	,	bidirectional	,	right
79	,	HS_IO_R7p	,	Bank5	,	bidirectional	,	right
78	,	HS_IO	,	Bank5	,	bidirectional	,	right
81	,	HS_IO_R7n	,	Bank5	,	bidirectional	,	right
80	,	HS_IO_VREFB5N0	,	Bank5	,	bidirectional	,	right
85	,	HS_IO_R10p	,	Bank5	,	bidirectional	,	right
84	,	HS_IO_R11p	,	Bank5	,	bidirectional	,	right
87	,	HS_IO_R10n	,	Bank5	,	bidirectional	,	right
86	,	HS_IO_R11n	,	Bank5	,	bidirectional	,	right
88	,	HS_IO_R14p_CLK2p	,	Bank6	,	bidirectional	,	right
89	,	HS_IO_R14n_CLK2n	,	Bank6	,	bidirectional	,	right
90	,	HS_IO_R16p_CLK3p	,	Bank6	,	bidirectional	,	right
91	,	HS_IO_R16n_CLK3n	,	Bank6	,	bidirectional	,	right
92	,	HS_IO_R18p	,	Bank6	,	bidirectional	,	right
93	,	HS_IO_R18n	,	Bank6	,	bidirectional	,	right
96	,	HS_IO_R26p_DPCLK3	,	Bank6	,	bidirectional	,	right
97	,	HS_IO_VREFB6N0	,	Bank6	,	bidirectional	,	right
98	,	HS_IO_R26n_DPCLK2	,	Bank6	,	bidirectional	,	right
99	,	HS_IO_R27p	,	Bank6	,	bidirectional	,	right
100	,	HS_IO_R28p	,	Bank6	,	bidirectional	,	right
101	,	HS_IO_R27n	,	Bank6	,	bidirectional	,	right
102	,	HS_IO_R28n	,	Bank6	,	bidirectional	,	right
105	,	HS_IO_R33p	,	Bank6	,	bidirectional	,	right
106	,	HS_IO_R33n	,	Bank6	,	bidirectional	,	right
110	,	HS_IO_T1p	,	Bank7	,	bidirectional	,	right
111	,	HS_IO_T1n	,	Bank7	,	bidirectional	,	right
112	,	HS_IO_VREFB7N0	,	Bank7	,	bidirectional	,	right
113	,	HS_IO	,	Bank7	,	bidirectional	,	right
114	,	HS_IO	,	Bank7	,	bidirectional	,	right
118	,	HS_IO_T10p	,	Bank7	,	bidirectional	,	right
119	,	HS_IO_T10n	,	Bank7	,	bidirectional	,	right
120	,	LS_IO_T16p	,	Bank8	,	bidirectional	,	right
121	,	LS_IO_T16n_DEV_CLRn	,	Bank8	,	bidirectional	,	right
122	,	LS_IO_DEV_OE	,	Bank8	,	bidirectional	,	right
123	,	LS_IO_VREFB8N0	,	Bank8	,	bidirectional	,	right
126	,	LS_IO_CONFIG_SEL	,	Bank8	,	bidirectional	,	right
124	,	LS_IO_T19p	,	Bank8	,	bidirectional	,	right
129	,	LS_I_nCONFIG	,	Bank8	,	input	,	right
127	,	LS_IO_T19n	,	Bank8	,	bidirectional	,	right
130	,	LS_IO_T20p	,	Bank8	,	bidirectional	,	right
131	,	LS_IO_T20n	,	Bank8	,	bidirectional	,	right
132	,	LS_IO_T22p	,	Bank8	,	bidirectional	,	right
134	,	LS_IO_T22n_CRC_ERROR	,	Bank8	,	bidirectional	,	right
135	,	LS_IO	,	Bank8	,	bidirectional	,	right
136	,	LS_IO_T24p_nSTATUS	,	Bank8	,	bidirectional	,	right
138	,	LS_IO_T24n_CONF_DONE	,	Bank8	,	bidirectional	,	right
140	,	LS_IO_T26p	,	Bank8	,	bidirectional	,	right
141	,	LS_IO_T26n	,	Bank8	,	bidirectional	,	right
3	,	GND	,	Power	,	power_in	,	right
4	,	GND	,	Power	,	power_in	,	right
95	,	GND	,	Power	,	power_in	,	right
83	,	GND	,	Power	,	power_in	,	right
68	,	GND	,	Power	,	power_in	,	right
63	,	GND	,	Power	,	power_in	,	right
53	,	GND	,	Power	,	power_in	,	right
42	,	GND	,	Power	,	power_in	,	right
142	,	GND	,	Power	,	power_in	,	right
137	,	GND	,	Power	,	power_in	,	right
133	,	GND	,	Power	,	power_in	,	right
125	,	GND	,	Power	,	power_in	,	right
116	,	GND	,	Power	,	power_in	,	right
104	,	GND	,	Power	,	power_in	,	right
145	,	GND	,	Power	,	power_in	,	right
9	,	VCCIO1A	,	Power	,	power_in	,	left
23	,	VCCIO1B	,	Power	,	power_in	,	left
31	,	VCCIO2	,	Power	,	power_in	,	left
49	,	VCCIO3	,	Power	,	power_in	,	left
40	,	VCCIO3	,	Power	,	power_in	,	left
67	,	VCCIO4	,	Power	,	power_in	,	left
82	,	VCCIO5	,	Power	,	power_in	,	left
94	,	VCCIO6	,	Power	,	power_in	,	left
103	,	VCCIO6	,	Power	,	power_in	,	left
117	,	VCCIO7	,	Power	,	power_in	,	left
139	,	VCCIO8	,	Power	,	power_in	,	left
128	,	VCCIO8	,	Power	,	power_in	,	left
35	,	VCCA1	,	Power	,	power_in	,	left
34	,	VCCA2	,	Power	,	power_in	,	left
5	,	VCCA3	,	Power	,	power_in	,	left
107	,	VCCA3	,	Power	,	power_in	,	left
143	,	VCCA4	,	Power	,	power_in	,	left
71	,	VCCA5	,	Power	,	power_in	,	left
2	,	VCCA6	,	Power	,	power_in	,	left
73	,	VCC_ONE	,	Power	,	power_in	,	left
72	,	VCC_ONE	,	Power	,	power_in	,	left
51	,	VCC_ONE	,	Power	,	power_in	,	left
37	,	VCC_ONE	,	Power	,	power_in	,	left
36	,	VCC_ONE	,	Power	,	power_in	,	left
144	,	VCC_ONE	,	Power	,	power_in	,	left
115	,	VCC_ONE	,	Power	,	power_in	,	left
109	,	VCC_ONE	,	Power	,	power_in	,	left
108	,	VCC_ONE	,	Power	,	power_in	,	left
1	,	VCC_ONE	,	Power	,	power_in	,	left

