10M40SA_E144
Pin	,	Name	,	Type	,	Side
1	,	VCC_ONE	,	power_in	,	left
2	,	VCCA6	,	power_in	,	left
3	,	ANAIN1	,	power_in	,	left
4	,	REFGND	,	power_in	,	left
5	,	ADC_VREF	,	power_in	,	left
6	,	LS_IO_B1A_L1n_ADC1IN1	,	bidirectional	,	left
7	,	LS_IO_B1A_L1p_ADC1IN2	,	bidirectional	,	left
8	,	LS_IO_B1A_L3n_ADC1IN3	,	bidirectional	,	left
9	,	VCCIO1A	,	power_in	,	left
10	,	LS_IO_B1A_L3p_ADC1IN4	,	bidirectional	,	left
11	,	LS_IO_B1A_L5n_ADC1IN5	,	bidirectional	,	left
12	,	LS_IO_B1A_L5p_ADC1IN6	,	bidirectional	,	left
13	,	LS_IO_B1A_L7n_ADC1IN7	,	bidirectional	,	left
14	,	LS_IO_B1A_L7p_ADC1IN8	,	bidirectional	,	left
15	,	LS_IO_B1B	,	bidirectional	,	left
16	,	LS_IO_B1B_L17n	,	bidirectional	,	left
17	,	LS_IO_B1B_L17p	,	bidirectional	,	left
18	,	LS_IO_B1B_L18n	,	bidirectional	,	left
19	,	LS_IO_B1B_L18p	,	bidirectional	,	left
20	,	LS_IO_B1B_L20n	,	bidirectional	,	left
21	,	LS_IO_B1B_L20p	,	bidirectional	,	left
22	,	LS_IO_B1B_L22n	,	bidirectional	,	left
23	,	LS_IO_B1B_L22p	,	bidirectional	,	left
24	,	VCCIO1B	,	power_in	,	left
25	,	HS_IO_B2_L28n_CLK0n	,	bidirectional	,	left
26	,	HS_IO_B2_L28p_CLK0p	,	bidirectional	,	left
27	,	HS_IO_B2_L36n_CLK1n	,	bidirectional	,	left
28	,	HS_IO_B2_L36p_CLK1p	,	bidirectional	,	left
29	,	HS_IO_B2_VREFB2N0	,	bidirectional	,	left
30	,	HS_IO_B2	,	bidirectional	,	left
31	,	VCCIO2	,	power_in	,	left
32	,	HS_IO_B2_L59n_PLL_L_CLKOUTn	,	bidirectional	,	left
33	,	HS_IO_B2_L59p_PLL_L_CLKOUTp	,	bidirectional	,	left
34	,	VCCA2	,	power_in	,	left
35	,	VCCA1	,	power_in	,	left
36	,	VCC_ONE	,	power_in	,	left
37	,	VCC_ONE	,	power_in	,	bottom
38	,	HS_IO_B3_B1n	,	bidirectional	,	bottom
39	,	HS_IO_B3_B1p	,	bidirectional	,	bottom
40	,	HS_IO_B3_B3n	,	bidirectional	,	bottom
41	,	HS_IO_B3_B3p	,	bidirectional	,	bottom
42	,	HS_IO_B3_B5n	,	bidirectional	,	bottom
43	,	HS_IO_B3_B5p	,	bidirectional	,	bottom
44	,	HS_IO_B3__VREFB3N0	,	bidirectional	,	bottom
45	,	VCCIO3	,	power_in	,	bottom
46	,	HS_IO_B3_B15n	,	bidirectional	,	bottom
47	,	VCC_ONE	,	power_in	,	bottom
48	,	GND	,	power_in	,	bottom
49	,	HS_IO_B3_B15p	,	bidirectional	,	bottom
50	,	HS_IO_B3__	,	bidirectional	,	bottom
51	,	HS_IO_B3_B18n_CLK6n	,	bidirectional	,	bottom
52	,	HS_IO_B3_B18p_CLK6p	,	bidirectional	,	bottom
53	,	HS_IO_B3_B20n_CLK7n	,	bidirectional	,	bottom
54	,	VCCIO3	,	power_in	,	bottom
55	,	HS_IO_B3_B20p_CLK7p	,	bidirectional	,	bottom
56	,	GND	,	power_in	,	bottom
57	,	HS_IO_B4_VREFB4N0	,	bidirectional	,	bottom
58	,	HS_IO_B4	,	bidirectional	,	bottom
59	,	GND	,	power_in	,	bottom
60	,	HS_IO_B4_B39n	,	bidirectional	,	bottom
61	,	HS_IO_B4_B39p	,	bidirectional	,	bottom
62	,	HS_IO_B4	,	bidirectional	,	bottom
63	,	HS_IO_B4_B45n	,	bidirectional	,	bottom
64	,	HS_IO_B4_B45p	,	bidirectional	,	bottom
65	,	HS_IO_B4_B49n	,	bidirectional	,	bottom
66	,	HS_IO_B4_B49p	,	bidirectional	,	bottom
67	,	VCCIO4	,	power_in	,	bottom
68	,	GND	,	power_in	,	bottom
69	,	HS_IO_B4_B57n	,	bidirectional	,	bottom
70	,	HS_IO_B4_B57p	,	bidirectional	,	bottom
71	,	VCCA5	,	power_in	,	bottom
72	,	VCC_ONE	,	power_in	,	bottom
73	,	VCC_ONE	,	power_in	,	right
74	,	HS_IO_B5_R2p	,	bidirectional	,	right
75	,	HS_IO_B5_R2n	,	bidirectional	,	right
76	,	HS_IO_B5_R1p_RUP	,	bidirectional	,	right
77	,	HS_IO_B5_R1n_RDN	,	bidirectional	,	right
78	,	VCCIO5	,	power_in	,	right
79	,	GND	,	power_in	,	right
80	,	HS_IO_B5	,	bidirectional	,	right
81	,	HS_IO_B5_VREFB5N0	,	bidirectional	,	right
82	,	HS_IO_B5_R29p	,	bidirectional	,	right
83	,	HS_IO_B5_R29n	,	bidirectional	,	right
84	,	HS_IO_B5_R33p	,	bidirectional	,	right
85	,	HS_IO_B5_R32p	,	bidirectional	,	right
86	,	HS_IO_B5_R33n	,	bidirectional	,	right
