TE0712-03-82I36-A
Pin,Name,Unit,Side
1,GND,JB1,right
2,VIN,JB1,left
3,ETH_TD_P,JB1,right
4,VIN,JB1,left
5,ETH_TD_N,JB1,right
6,VIN,JB1,left
7,GND,JB1,right
8,NOSEQ,JB1,left
9,ETH_RD_P,JB1,right
10,VCCIO16,JB1,left
11,ETH_RD_N,JB1,right
12,VCCIO16,JB1,left
13,3.3V,JB1,right
14,3.3VIN,JB1,left
15,B13_L6_N,JB1,right
16,3.3VIN,JB1,left
17,B13_L6_P,JB1,right
18,B13_L3_P,JB1,left
19,GND,JB1,right
20,B13_L3_N,JB1,left
21,B13_L5_N,JB1,right
22,B13_L11_N,JB1,left
23,B13_L5_P,JB1,right
24,B13_L11_P,JB1,left
25,GND,JB1,right
26,B13_L9_N,JB1,left
27,EN1,JB1,right
28,B13_L9_P,JB1,left
29,PGOOD,JB1,right
30,GND,JB1,left
31,MODE,JB1,right
32,B16_L22_P,JB1,left
33,GND,JB1,right
34,B16_L22_N,JB1,left
35,B16_L16_P,JB1,right
36,B16_L24_N,JB1,left
37,B16_L16_N,JB1,right
38,B16_L24_P,JB1,left
39,B16_L19_N,JB1,right
40,1.8V,JB1,left
41,B16_L19_P,JB1,right
42,B16_L23_P,JB1,left
43,GND,JB1,right
44,B16_L23_N,JB1,left
45,B16_L17_N,JB1,right
46,B16_L15_P,JB1,left
47,B16_L17_P,JB1,right
48,B16_L15_N,JB1,left
49,B16_L18_N,JB1,right
50,B16_L20_P,JB1,left
51,B16_L18_P,JB1,right
52,B16_L20_N,JB1,left
53,GND,JB1,right
54,GND,JB1,left
55,B16_L9_N,JB1,right
56,B16_L21_P,JB1,left
57,B16_L9_P,JB1,right
58,B16_L21_N,JB1,left
59,B16_L7_N,JB1,right
60,B16_L13_P,JB1,left
61,B16_L7_P,JB1,right
62,B16_L13_N,JB1,left
63,GND,JB1,right
64,GND,JB1,left
65,B16_L11_P,JB1,right
66,B16_L14_P,JB1,left
67,B16_L11_N,JB1,right
68,B16_L14_N,JB1,left
69,B16_L10_N,JB1,right
70,B16_L3_N,JB1,left
71,B16_L10_P,JB1,right
