KSZ9131
Pin,Name,Type,Side
1, AVDDH, power_in, left				
2, TXRXP_A, bidirectional, left  				
3, TXRXM_A, bidirectional, left			
4, AVDDL, power_in, left					
5, TXRXP_B, bidirectional, left				
6, TXRXM_B, bidirectional, left				
7, TXRXP_C, bidirectional, left				
8, TXRXM_C, bidirectional, left				
9, AVDDL, power_in,	left					
10, TXRXP_D, bidirectional, left			
11, TXRXM_D, bidirectional, left				
12, AVDDH, power_in, left	
49, ePAD, power_in, left				
13, NC, bidirectional, bottom					
14, NC, bidirectional, bottom					
15, LED2/PHYAD1, bidirectional, bottom		
16, DVDDH, power_in, bottom		
17, LED1/PME_N1/PHYAD0, bidirectional, bottom	
18, DVDDL, power_in, bottom				
19, TXD0, input, bottom 				
20, TXD1, input, bottom 				
21, TXD2, input, bottom 				
22, TXD3, input, bottom 				
23, DVDDL, power_in, bottom 				
24, TXC, input, bottom					
25, TX_CTL, input, right
26, DVDDL, power_in, right
27, RXD3/MODE3, output, right
28, RXD2/MODE2, output, right
29, VSS, power_in, right
30, DVDDL, power_in, right
31, RXD1/MODE1, output, right
32, RXD0/MODE0, output, right
33, RX_CTL/CLK125_EN, output, right
34, DVDDH, power_in, right
35, RXC/PHYAD2, output, right
36, MDC, bidirectional, right
37, MDIO, bidirectional, top
38, INT_N/PME_N2/ALLPHYAD, bidirectional, top
39, DVDDL, power_in, top
40, DVDDH, power_in, top
41, CLK125_NDO/LED_MODE, bidirectional, top
42, RESET_N, bidirectional, top
43, LDO_O, output, top
44, AVDDL_PLL, power_in, top
45, XO, bidirectional, top
46, XI, bidirectional, top
47, NC, bidirectional, top
48, ISET, bidirectional, top
